"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","first.two.char","first.three.char","year"
"FDJ41",6.85,"Low Fat",0.02287621410123,"Frozen Foods",262.3594,"OUT035","Small","Tier 2","Supermarket Type1",3924.891,"FD","FDJ","9"
"NCF42",17.35,"Low Fat",0.166506393653367,"Household",176.1712,"OUT027","Medium","Tier 3","Other Supermarket",3691.1952,"NC","NCF","28"
"FDA19",7.52,"Low Fat",0.055072062839048,"Fruits and Vegetables",128.8994,"OUT013","High","Tier 3","Supermarket Type1",2055.9904,"FD","FDA","26"
"FDW09",13.65,"Regular",0.02591763827038,"Snack Foods",81.2302,"OUT046","Small","Tier 1","Supermarket Type1",2059.9852,"FD","FDW","16"
"NCO14",9.6,"Low Fat",0.0294886132575189,"Household",46.2086,"OUT027","Medium","Tier 3","Other Supermarket",802.9548,"NC","NCO","28"
"FDO39",6.985,"Regular",0.137653717981062,"Meat",185.2608,"OUT045","Small","Tier 2","Supermarket Type1",2940.1728,"FD","FDO","11"
"FDR45",10.8,"Low Fat",0.0289836302488398,"Snack Foods",240.6222,"OUT027","Medium","Tier 3","Other Supermarket",4302.3996,"FD","FDR","28"
"FDA15",9.3,"Low Fat",0.0274475705924617,"Dairy",248.9092,"OUT010","Small","Tier 3","Grocery Store",498.0184,"FD","FDA","15"
"FDY13",12.1,"Low Fat",0.030097110332462,"Canned",74.767,"OUT013","High","Tier 3","Supermarket Type1",2220.443,"FD","FDY","26"
"FDY31",5.98,"Low Fat",0.0437503511293536,"Fruits and Vegetables",145.3418,"OUT018","Medium","Tier 3","Other Supermarket",2354.2688,"FD","FDY","4"
"NCS29",9,"Low Fat",0.0696556845184562,"Health and Hygiene",266.2884,"OUT049","Medium","Tier 1","Supermarket Type1",2914.8724,"NC","NCS","14"
"FDJ52",7.145,"Low Fat",0.0178634206446715,"Frozen Foods",160.6578,"OUT018","Medium","Tier 3","Other Supermarket",2246.4092,"FD","FDJ","4"
"NCX41",19,"Low Fat",0.0177562773134817,"Health and Hygiene",211.7244,"OUT045","Small","Tier 2","Supermarket Type1",2752.4172,"NC","NCX","11"
"FDQ36",7.855,"Regular",0.161884766393133,"Baking Goods",35.6848,"OUT045","Small","Tier 2","Supermarket Type1",335.5632,"FD","FDQ","11"
"FDV35",19.5,"Low Fat",0.12816641402936,"Breads",156.1314,"OUT035","Small","Tier 2","Supermarket Type1",2792.3652,"FD","FDV","9"
"FDE02",8.71,"Low Fat",0.12123550946391,"Canned",92.7778,"OUT046","Small","Tier 1","Supermarket Type1",1032.6558,"FD","FDE","16"
"FDA34",11.5,"Low Fat",0.0149245190039298,"Starchy Foods",173.908,"OUT018","Medium","Tier 3","Other Supermarket",1211.756,"FD","FDA","4"
"NCL42",18.85,"Low Fat",0.0404355907845074,"Household",244.3144,"OUT049","Medium","Tier 1","Supermarket Type1",5635.3312,"NC","NCL","14"
"FDE14",13.65,"Regular",0.0315108127620558,"Canned",98.77,"OUT045","Small","Tier 2","Supermarket Type1",1697.79,"FD","FDE","11"
"DRD25",6.135,"Low Fat",0.0790972190993378,"Soft Drinks",114.386,"OUT049","Medium","Tier 1","Supermarket Type1",1018.674,"DR","DRD","14"
"DRF01",5.655,"Low Fat",0.175833776592919,"Soft Drinks",146.9102,"OUT018","Medium","Tier 3","Other Supermarket",1749.7224,"DR","DRF","4"
"FDF39",14.85,"Regular",0.0194916673701217,"Dairy",261.291,"OUT013","High","Tier 3","Supermarket Type1",10256.649,"FD","FDF","26"
"FDP01",20.75,"Regular",0.0633063945200513,"Breakfast",153.7682,"OUT035","Small","Tier 2","Supermarket Type1",1829.6184,"FD","FDP","9"
"FDB10",10,"Low Fat",0.0674973943913685,"Snack Foods",234.859,"OUT018","Medium","Tier 3","Other Supermarket",1181.795,"FD","FDB","4"
"FDY14",10.3,"Low Fat",0.0700185678921734,"Dairy",263.6226,"OUT035","Small","Tier 2","Supermarket Type1",6608.065,"FD","FDY","9"
"FDR57",5.675,"Regular",0.0234940864190794,"Snack Foods",156.1288,"OUT046","Small","Tier 1","Supermarket Type1",2828.3184,"FD","FDR","16"
"NCH29",5.51,"Low Fat",0.0345085246181721,"Health and Hygiene",98.9726,"OUT018","Medium","Tier 3","Other Supermarket",1565.9616,"NC","NCH","4"
"FDJ45",17.75,"Low Fat",0.0735639304311855,"Seafood",33.9216,"OUT045","Small","Tier 2","Supermarket Type1",830.9184,"FD","FDJ","11"
"FDZ48",17.75,"Low Fat",0.0762865619922528,"Baking Goods",113.1544,"OUT018","Medium","Tier 3","Other Supermarket",1006.6896,"FD","FDZ","4"
"FDV44",8.365,"Regular",0.0399276282670293,"Fruits and Vegetables",189.2188,"OUT045","Small","Tier 2","Supermarket Type1",4570.0512,"FD","FDV","11"
"FDR01",5.405,"Regular",0.0961469251486153,"Canned",200.4742,"OUT019","Small","Tier 1","Grocery Store",398.1484,"FD","FDR","28"
"FDZ57",10,"Regular",0.0377263309481323,"Snack Foods",128.2994,"OUT013","High","Tier 3","Supermarket Type1",1413.4934,"FD","FDZ","26"
"FDI08",18.2,"Regular",0.0664021304518468,"Fruits and Vegetables",250.1092,"OUT049","Medium","Tier 1","Supermarket Type1",5727.2116,"FD","FDI","14"
"DRA24",19.35,"Regular",0.0399159079910777,"Soft Drinks",163.3868,"OUT035","Small","Tier 2","Supermarket Type1",3439.5228,"DR","DRA","9"
"FDS39",6.895,"Low Fat",0.022342937275778,"Meat",143.7812,"OUT027","Medium","Tier 3","Other Supermarket",4986.842,"FD","FDS","28"
"NCL31",7.39,"Low Fat",0.120160034979742,"Others",141.447,"OUT013","High","Tier 3","Supermarket Type1",2290.352,"NC","NCL","26"
"FDD34",7.945,"Low Fat",0.0159014502916558,"Snack Foods",163.821,"OUT049","Medium","Tier 1","Supermarket Type1",1794.331,"FD","FDD","14"
"FDC34",16,"Regular",0.172737913817718,"Snack Foods",157.0972,"OUT046","Small","Tier 1","Supermarket Type1",4673.916,"FD","FDC","16"
"NCK05",20.1,"Low Fat",0.0774447565940383,"Health and Hygiene",59.2536,"OUT046","Small","Tier 1","Supermarket Type1",735.0432,"NC","NCK","16"
"FDB32",20.6,"Low Fat",0.0401766655746034,"Fruits and Vegetables",94.4778,"OUT010","Small","Tier 3","Grocery Store",93.8778,"FD","FDB","15"
"FDC03",8.575,"Regular",0.0722720877836885,"Dairy",196.5794,"OUT017","Small","Tier 2","Supermarket Type1",5267.1438,"FD","FDC","6"
"FDO19",17.7,"Regular",0.0166680782473693,"Fruits and Vegetables",47.9034,"OUT018","Medium","Tier 3","Other Supermarket",729.051,"FD","FDO","4"
"FDZ28",20,"Regular",0.088210559919841,"Frozen Foods",125.4678,"OUT010","Small","Tier 3","Grocery Store",127.1678,"FD","FDZ","15"
"FDK28",5.695,"Low Fat",0.112360489385146,"Frozen Foods",256.0646,"OUT010","Small","Tier 3","Grocery Store",1288.323,"FD","FDK","15"
"NCU30",5.11,"Low Fat",0.0348826965113507,"Household",164.721,"OUT018","Medium","Tier 3","Other Supermarket",3588.662,"NC","NCU","4"
"FDV57",15.25,"Regular",0.0658942757111229,"Snack Foods",178.166,"OUT045","Small","Tier 2","Supermarket Type1",4853.682,"FD","FDV","11"
"FDB02",9.695,"Regular",0.0290115296720469,"Canned",177.837,"OUT027","Medium","Tier 3","Other Supermarket",6704.606,"FD","FDB","28"
"FDD52",18.25,"Regular",0.183110559167849,"Dairy",110.357,"OUT013","High","Tier 3","Supermarket Type1",2087.283,"FD","FDD","26"
"FDN34",15.6,"Regular",0.0458490958876372,"Snack Foods",170.6132,"OUT013","High","Tier 3","Supermarket Type1",6595.4148,"FD","FDN","26"
"FDB50",13,"Low Fat",0.153862039614204,"Canned",76.3986,"OUT049","Medium","Tier 1","Supermarket Type1",778.986,"FD","FDB","14"
"FDS55",7.02,"Low Fat",0.0812928162776667,"Fruits and Vegetables",147.3734,"OUT049","Medium","Tier 1","Supermarket Type1",2524.0478,"FD","FDS","14"
"FDR21",19.7,"Low Fat",0.0669272531321486,"Snack Foods",177.537,"OUT046","Small","Tier 1","Supermarket Type1",3175.866,"FD","FDR","16"
"NCD07",9.1,"Low Fat",0.0555165923467062,"Household",112.5518,"OUT049","Medium","Tier 1","Supermarket Type1",341.5554,"NC","NCD","14"
"FDO11",8,"Regular",0.0518460656838629,"Breads",249.9092,"OUT010","Small","Tier 3","Grocery Store",249.0092,"FD","FDO","15"
"NCC54",17.75,"Low Fat",0.0981314836119731,"Health and Hygiene",240.9196,"OUT018","Medium","Tier 3","Other Supermarket",4579.3724,"NC","NCC","4"
"FDV35",19.5,"Low Fat",0.128409198430445,"Breads",156.4314,"OUT049","Medium","Tier 1","Supermarket Type1",2326.971,"FD","FDV","14"
"NCU29",7.685,"Low Fat",0.0254743246245186,"Health and Hygiene",145.276,"OUT046","Small","Tier 1","Supermarket Type1",3515.424,"NC","NCU","16"
"NCZ53",9.6,"Low Fat",0.0419312431534732,"Health and Hygiene",188.7214,"OUT010","Small","Tier 3","Grocery Store",376.8428,"NC","NCZ","15"
"DRE03",19.6,"Low Fat",0.0415025235856877,"Dairy",45.5718,"OUT010","Small","Tier 3","Grocery Store",47.2718,"DR","DRE","15"
"FDZ09",17.6,"Low Fat",0.179665633756422,"Snack Foods",163.6868,"OUT010","Small","Tier 3","Grocery Store",163.7868,"FD","FDZ","15"
"FDE40",15.6,"Regular",0.0993507810982379,"Dairy",63.6194,"OUT045","Small","Tier 2","Supermarket Type1",743.0328,"FD","FDE","11"
"NCS18",12.65,"Low Fat",0.042278020317876,"Household",108.4938,"OUT049","Medium","Tier 1","Supermarket Type1",1500.7132,"NC","NCS","14"
"FDX24",8.355,"Low Fat",0.0138561057674836,"Baking Goods",94.4462,"OUT027","Medium","Tier 3","Other Supermarket",2036.0164,"FD","FDX","28"
"FDS34",19.35,"Regular",0.0763570512749052,"Snack Foods",112.1518,"OUT027","Medium","Tier 3","Other Supermarket",3870.9612,"FD","FDS","28"
"NCS53",14.5,"Low Fat",0.0899656525524597,"Health and Hygiene",159.5604,"OUT045","Small","Tier 2","Supermarket Type1",1426.1436,"NC","NCS","11"
"FDH38",6.425,"Low Fat",0.0104831574654052,"Canned",116.5808,"OUT018","Medium","Tier 3","Other Supermarket",2460.7968,"FD","FDH","4"
"DRM35",9.695,"Low Fat",0.0705916502723413,"Hard Drinks",176.9344,"OUT045","Small","Tier 2","Supermarket Type1",5888.3352,"DR","DRM","11"
"DRI25",19.6,"Low Fat",0.0338673508426127,"Soft Drinks",56.1614,"OUT013","High","Tier 3","Supermarket Type1",828.921,"DR","DRI","26"
"NCP06",20.7,"Low Fat",0.0392336866713384,"Household",152.8366,"OUT035","Small","Tier 2","Supermarket Type1",2569.3222,"NC","NCP","9"
"FDT02",12.6,"Low Fat",0.0243380516403492,"Dairy",34.9874,"OUT017","Small","Tier 2","Supermarket Type1",529.311,"FD","FDT","6"
"NCP14",8.275,"Low Fat",0.110178850650061,"Household",104.2306,"OUT013","High","Tier 3","Supermarket Type1",3658.571,"NC","NCP","26"
"NCD43",8.85,"Low Fat",0.0287249675908029,"Household",106.1964,"OUT019","Small","Tier 1","Grocery Store",210.3928,"NC","NCD","28"
"FDP20",19.85,"Low Fat",0.0456233110824479,"Fruits and Vegetables",128.102,"OUT013","High","Tier 3","Supermarket Type1",1265.02,"FD","FDP","26"
"FDK04",7.36,"Low Fat",0.0896144870611987,"Frozen Foods",55.2588,"OUT010","Small","Tier 3","Grocery Store",229.0352,"FD","FDK","15"
"FDQ15",20.35,"Regular",0.258800286530624,"Meat",82.7276,"OUT010","Small","Tier 3","Grocery Store",162.4552,"FD","FDQ","15"
"FDE11",17.7,"Regular",0.135310090432854,"Starchy Foods",183.7924,"OUT049","Medium","Tier 1","Supermarket Type1",2221.1088,"FD","FDE","14"
"FDN01",8.895,"Low Fat",0.129816355003473,"Breakfast",176.937,"OUT019","Small","Tier 1","Grocery Store",352.874,"FD","FDN","28"
"FDC29",8.39,"Regular",0.0241981868255008,"Frozen Foods",112.6176,"OUT035","Small","Tier 2","Supermarket Type1",2175.8344,"FD","FDC","9"
"FDC48",9.195,"Low Fat",0.0158543968018232,"Baking Goods",81.6592,"OUT035","Small","Tier 2","Supermarket Type1",1403.5064,"FD","FDC","9"
"DRF27",8.93,"Low Fat",0.028408497737922,"Dairy",152.334,"OUT035","Small","Tier 2","Supermarket Type1",2143.876,"DR","DRF","9"
"NCB55",15.7,"Low Fat",0.16050145996413,"Household",59.2562,"OUT013","High","Tier 3","Supermarket Type1",296.281,"NC","NCB","26"
"NCX30",16.7,"Low Fat",0.0267783179208426,"Household",246.3776,"OUT017","Small","Tier 2","Supermarket Type1",1981.4208,"NC","NCX","6"
"DRN36",15.2,"Low Fat",0.0499150364389822,"Soft Drinks",95.0752,"OUT027","Medium","Tier 3","Other Supermarket",2588.6304,"DR","DRN","28"
"FDP08",20.5,"Regular",0.113075922719665,"Fruits and Vegetables",194.1478,"OUT017","Small","Tier 2","Supermarket Type1",2906.217,"FD","FDP","6"
"NCD31",12.1,"Low Fat",0.0153536262131183,"Household",163.7526,"OUT027","Medium","Tier 3","Other Supermarket",1973.4312,"NC","NCD","28"
"FDK45",11.65,"Low Fat",0.0340587510387754,"Seafood",112.286,"OUT017","Small","Tier 2","Supermarket Type1",452.744,"FD","FDK","6"
"DRE49",20.75,"Low Fat",0.0212836815195325,"Soft Drinks",153.5024,"OUT049","Medium","Tier 1","Supermarket Type1",2428.8384,"DR","DRE","14"
"FDU52",7.56,"Low Fat",0.0634368619243872,"Frozen Foods",157.563,"OUT027","Medium","Tier 3","Other Supermarket",1721.093,"FD","FDU","28"
"FDD53",16.2,"Low Fat",0.0757564943808549,"Frozen Foods",41.7454,"OUT010","Small","Tier 3","Grocery Store",83.8908,"FD","FDD","15"
"FDF11",10.195,"Regular",0.0176680370243477,"Starchy Foods",239.4538,"OUT045","Small","Tier 2","Supermarket Type1",4566.7222,"FD","FDF","11"
"NCR30",20.6,"Low Fat",0.127295648931934,"Household",73.4696,"OUT019","Small","Tier 1","Grocery Store",298.2784,"NC","NCR","28"
"FDD03",13.3,"Low Fat",0.0797260130695941,"Dairy",233.03,"OUT013","High","Tier 3","Supermarket Type1",5359.69,"FD","FDD","26"
"FDF09",6.215,"Low Fat",0.0121681597651274,"Fruits and Vegetables",37.4848,"OUT049","Medium","Tier 1","Supermarket Type1",111.8544,"FD","FDF","14"
"FDS33",6.67,"Regular",0.123552905236583,"Snack Foods",90.5514,"OUT018","Medium","Tier 3","Other Supermarket",974.0654,"FD","FDS","4"
"FDK03",12.6,"Regular",0.0743583160105264,"Dairy",255.5356,"OUT017","Small","Tier 2","Supermarket Type1",9664.7528,"FD","FDK","6"
"FDD29",12.15,"Low Fat",0.0184048294463652,"Frozen Foods",254.7698,"OUT035","Small","Tier 2","Supermarket Type1",5834.4054,"FD","FDD","9"
"FDD02",16.6,"Low Fat",0.0503707092426882,"Canned",117.2124,"OUT049","Medium","Tier 1","Supermarket Type1",1422.1488,"FD","FDD","14"
"FDF29",15.1,"Regular",0.0198297820634252,"Frozen Foods",128.131,"OUT027","Medium","Tier 3","Other Supermarket",1687.803,"FD","FDF","28"
"FDP59",20.85,"Regular",0.0564587916572815,"Breads",103.6648,"OUT046","Small","Tier 1","Supermarket Type1",2285.0256,"FD","FDP","16"
"NCN17",11,"Low Fat",0.054922065350001,"Health and Hygiene",101.7358,"OUT035","Small","Tier 2","Supermarket Type1",1508.037,"NC","NCN","9"
"NCM55",15.6,"Low Fat",0.0668318894053747,"Others",185.5924,"OUT049","Medium","Tier 1","Supermarket Type1",3146.5708,"NC","NCM","14"
"FDD39",16.7,"Low Fat",0.125792920686554,"Dairy",217.685,"OUT019","Small","Tier 1","Grocery Store",432.77,"FD","FDD","28"
"FDS02",10.195,"Regular",0.146731413628461,"Dairy",194.5794,"OUT017","Small","Tier 2","Supermarket Type1",4096.6674,"FD","FDS","6"
"FDN16",12.6,"Regular",0.0628312131107678,"Frozen Foods",105.099,"OUT045","Small","Tier 2","Supermarket Type1",1444.786,"FD","FDN","11"
"FDM21",20.2,"Low Fat",0.0644660900969187,"Snack Foods",255.7646,"OUT049","Medium","Tier 1","Supermarket Type1",5410.9566,"FD","FDM","14"
"FDJ04",18,"Low Fat",0.124987704602525,"Frozen Foods",116.5124,"OUT018","Medium","Tier 3","Other Supermarket",355.5372,"FD","FDJ","4"
"FDT50",6.75,"Regular",0.10846176718734,"Dairy",96.7752,"OUT049","Medium","Tier 1","Supermarket Type1",1342.2528,"FD","FDT","14"
"FDM27",12.35,"Regular",0.159151424068813,"Meat",158.1946,"OUT018","Medium","Tier 3","Other Supermarket",1104.5622,"FD","FDM","4"
"FDT19",7.59,"Regular",0.14534371892068,"Fruits and Vegetables",173.108,"OUT045","Small","Tier 2","Supermarket Type1",2077.296,"FD","FDT","11"
"FDQ39",14.8,"Low Fat",0.0811705815933446,"Meat",190.5846,"OUT049","Medium","Tier 1","Supermarket Type1",3630.6074,"FD","FDQ","14"
"NCU30",5.11,"Low Fat",0.0348704135816557,"Household",161.721,"OUT046","Small","Tier 1","Supermarket Type1",2446.815,"NC","NCU","16"
"FDY27",6.38,"Low Fat",0.0318942644836211,"Dairy",177.4344,"OUT046","Small","Tier 1","Supermarket Type1",1784.344,"FD","FDY","16"
"FDW14",8.3,"Regular",0.0382068525049998,"Dairy",87.7198,"OUT046","Small","Tier 1","Supermarket Type1",1569.9564,"FD","FDW","16"
"FDJ21",16.7,"Regular",0.0387564560298384,"Snack Foods",143.8102,"OUT017","Small","Tier 2","Supermarket Type1",4811.7366,"FD","FDJ","6"
"FDX47",6.55,"Regular",0.0344231031373567,"Breads",156.5288,"OUT027","Medium","Tier 3","Other Supermarket",4870.9928,"FD","FDX","28"
"FDK56",9.695,"Low Fat",0.130269460367738,"Fruits and Vegetables",185.2898,"OUT045","Small","Tier 2","Supermarket Type1",3367.6164,"FD","FDK","11"
"NCN05",8.235,"Low Fat",0.014455207322477,"Health and Hygiene",184.795,"OUT035","Small","Tier 2","Supermarket Type1",1464.76,"NC","NCN","9"
"FDC26",10.195,"Low Fat",0.1263676002246,"Canned",112.1886,"OUT046","Small","Tier 1","Supermarket Type1",667.1316,"FD","FDC","16"
"FDT14",10.695,"Regular",0.127598660681481,"Dairy",119.244,"OUT013","High","Tier 3","Supermarket Type1",3475.476,"FD","FDT","26"
"FDS36",8.38,"Regular",0.04687286205636,"Baking Goods",109.857,"OUT035","Small","Tier 2","Supermarket Type1",2306.997,"FD","FDS","9"
"FDR48",11.65,"Low Fat",0.225276727116287,"Baking Goods",153.0024,"OUT010","Small","Tier 3","Grocery Store",455.4072,"FD","FDR","15"
"FDM04",9.195,"Regular",0.047106060136271,"Frozen Foods",52.0666,"OUT035","Small","Tier 2","Supermarket Type1",615.1992,"FD","FDM","9"
"FDZ37",8.1,"Regular",0.019766079505403,"Canned",88.6198,"OUT046","Small","Tier 1","Supermarket Type1",1569.9564,"FD","FDZ","16"
"FDE46",18.6,"Low Fat",0.0158631071888521,"Snack Foods",152.9366,"OUT017","Small","Tier 2","Supermarket Type1",453.4098,"FD","FDE","6"
"NCQ53",17.6,"Low Fat",0.0189030083254944,"Health and Hygiene",234.659,"OUT046","Small","Tier 1","Supermarket Type1",8508.924,"NC","NCQ","16"
"NCN42",20.25,"Low Fat",0.014283832930982,"Household",148.0418,"OUT018","Medium","Tier 3","Other Supermarket",1177.1344,"NC","NCN","4"
"DRH11",5.98,"Low Fat",0.0756777190308868,"Hard Drinks",53.3614,"OUT049","Medium","Tier 1","Supermarket Type1",331.5684,"DR","DRH","14"
"NCI42",18.75,"Low Fat",0.0103819739270213,"Household",207.8954,"OUT049","Medium","Tier 1","Supermarket Type1",2292.3494,"NC","NCI","14"
"FDT07",5.82,"Regular",0.0774805281925449,"Fruits and Vegetables",255.333,"OUT045","Small","Tier 2","Supermarket Type1",4870.327,"FD","FDT","11"
"DRL60",8.52,"Low Fat",0.0270560426920197,"Soft Drinks",153.3682,"OUT046","Small","Tier 1","Supermarket Type1",914.8092,"DR","DRL","16"
"FDG20",15.5,"Regular",0.126228893524144,"Fruits and Vegetables",178.4028,"OUT018","Medium","Tier 3","Other Supermarket",1239.7196,"FD","FDG","4"
"FDF56",16.7,"Regular",0.119447579679773,"Fruits and Vegetables",182.7976,"OUT046","Small","Tier 1","Supermarket Type1",1810.976,"FD","FDF","16"
"FDV33",9.6,"Regular",0.0274613008899103,"Snack Foods",258.1304,"OUT018","Medium","Tier 3","Other Supermarket",2324.9736,"FD","FDV","4"
"NCF31",9.13,"Low Fat",0.0519295992297836,"Household",151.4024,"OUT049","Medium","Tier 1","Supermarket Type1",1973.4312,"NC","NCF","14"
"FDD59",10.5,"Regular",0.0662755740337181,"Starchy Foods",78.296,"OUT046","Small","Tier 1","Supermarket Type1",1438.128,"FD","FDD","16"
"FDQ52",17,"Low Fat",0.119574199131374,"Frozen Foods",249.7434,"OUT049","Medium","Tier 1","Supermarket Type1",4221.8378,"FD","FDQ","14"
"FDP09",19.75,"Low Fat",0.0337123583214391,"Snack Foods",211.6902,"OUT027","Medium","Tier 3","Other Supermarket",4247.804,"FD","FDP","28"
"FDK24",9.195,"Low Fat",0.101263668012415,"Baking Goods",46.4744,"OUT035","Small","Tier 2","Supermarket Type1",950.7624,"FD","FDK","9"
"NCA18",10.1,"Low Fat",0.0560706992408134,"Household",117.8492,"OUT046","Small","Tier 1","Supermarket Type1",1621.8888,"NC","NCA","16"
"NCE07",8.18,"Low Fat",0.0131512332865671,"Household",140.5154,"OUT045","Small","Tier 2","Supermarket Type1",1701.7848,"NC","NCE","11"
"FDM45",8.655,"Regular",0.088167496976702,"Snack Foods",122.6756,"OUT035","Small","Tier 2","Supermarket Type1",2302.3364,"FD","FDM","9"
"FDQ32",17.85,"Regular",0.0466027830903197,"Fruits and Vegetables",122.9388,"OUT046","Small","Tier 1","Supermarket Type1",3095.97,"FD","FDQ","16"
"FDI34",10.65,"Regular",0.085109665081512,"Snack Foods",229.8668,"OUT035","Small","Tier 2","Supermarket Type1",4146.6024,"FD","FDI","9"
"FDE14",13.65,"Regular",0.0314135308102131,"Canned",99.27,"OUT013","High","Tier 3","Supermarket Type1",2596.62,"FD","FDE","26"
"DRF37",17.25,"Low Fat",0.0848321944983099,"Soft Drinks",261.191,"OUT017","Small","Tier 2","Supermarket Type1",3155.892,"DR","DRF","6"
"FDW44",9.5,"Regular",0.0353594385790827,"Fruits and Vegetables",169.7448,"OUT017","Small","Tier 2","Supermarket Type1",3579.3408,"FD","FDW","6"
"FDC59",16.7,"Regular",0.0547413419795903,"Starchy Foods",63.6168,"OUT049","Medium","Tier 1","Supermarket Type1",1342.2528,"FD","FDC","14"
"NCI29",8.6,"Low Fat",0.0558831840731007,"Health and Hygiene",141.1154,"OUT010","Small","Tier 3","Grocery Store",425.4462,"NC","NCI","15"
"FDV38",19.25,"Low Fat",0.10221189129159,"Dairy",54.3956,"OUT018","Medium","Tier 3","Other Supermarket",1201.1032,"FD","FDV","4"
"FDZ49",11,"Regular",0.133011726007659,"Canned",222.0798,"OUT013","High","Tier 3","Supermarket Type1",2864.9374,"FD","FDZ","26"
"DRD49",9.895,"Low Fat",0.168181510820781,"Soft Drinks",237.7564,"OUT045","Small","Tier 2","Supermarket Type1",3813.7024,"DR","DRD","11"
"FDA02",14,"Regular",0.0297190151882508,"Dairy",143.4786,"OUT046","Small","Tier 1","Supermarket Type1",1589.2646,"FD","FDA","16"
"FDX20",7.365,"Low Fat",0.0427434369867749,"Fruits and Vegetables",226.972,"OUT018","Medium","Tier 3","Other Supermarket",3848.324,"FD","FDX","4"
"FDS24",20.85,"Regular",0.0621619070870362,"Baking Goods",90.2514,"OUT013","High","Tier 3","Supermarket Type1",619.8598,"FD","FDS","26"
"FDI58",7.64,"Regular",0.0706958060745265,"Snack Foods",93.412,"OUT046","Small","Tier 1","Supermarket Type1",1491.392,"FD","FDI","16"
"FDQ60",6.195,"Regular",0.196116459864744,"Baking Goods",121.2098,"OUT019","Small","Tier 1","Grocery Store",120.5098,"FD","FDQ","28"
"FDJ27",17.7,"Regular",0.122069197334063,"Meat",103.3674,"OUT049","Medium","Tier 1","Supermarket Type1",2546.685,"FD","FDJ","14"
"FDV27",7.97,"Regular",0.040226916672023,"Meat",90.4514,"OUT017","Small","Tier 2","Supermarket Type1",1328.271,"FD","FDV","6"
"NCL41",12.35,"Low Fat",0.0417325102284605,"Health and Hygiene",33.1216,"OUT046","Small","Tier 1","Supermarket Type1",519.324,"NC","NCL","16"
"NCP29",8.42,"Low Fat",0.112257246277672,"Health and Hygiene",63.2168,"OUT046","Small","Tier 1","Supermarket Type1",703.0848,"NC","NCP","16"
"FDC45",17,"Low Fat",0.135022316646589,"Fruits and Vegetables",170.3106,"OUT027","Medium","Tier 3","Other Supermarket",3422.212,"FD","FDC","28"
"FDN33",6.305,"Regular",0.122991959375621,"Snack Foods",93.2436,"OUT013","High","Tier 3","Supermarket Type1",2079.9592,"FD","FDN","26"
"DRC01",5.92,"Regular",0.0192400952537145,"Soft Drinks",49.8692,"OUT045","Small","Tier 2","Supermarket Type1",1133.1916,"DR","DRC","11"
"FDL57",15.1,"Regular",0.0672168739878289,"Snack Foods",260.2304,"OUT045","Small","Tier 2","Supermarket Type1",4908.2776,"FD","FDL","11"
"NCF42",17.35,"Low Fat",0.286739893550615,"Household",177.5712,"OUT010","Small","Tier 3","Grocery Store",527.3136,"NC","NCF","15"
"FDG50",7.405,"Low Fat",0.0152699207738723,"Canned",89.9146,"OUT046","Small","Tier 1","Supermarket Type1",1550.6482,"FD","FDG","16"
"FDH22",6.405,"Low Fat",0.136516972809954,"Snack Foods",128.7678,"OUT049","Medium","Tier 1","Supermarket Type1",3052.0272,"FD","FDH","14"
"FDO36",19.7,"Low Fat",0.078037328152762,"Baking Goods",178.066,"OUT049","Medium","Tier 1","Supermarket Type1",3954.852,"FD","FDO","14"
"FDY04",17.7,"Regular",0.0426592686654822,"Frozen Foods",162.721,"OUT018","Medium","Tier 3","Other Supermarket",978.726,"FD","FDY","4"
"FDZ09",17.6,"Low Fat",0.104846582041135,"Snack Foods",161.8868,"OUT035","Small","Tier 2","Supermarket Type1",4094.67,"FD","FDZ","9"
"FDH28",15.85,"Regular",0.11020538774247,"Frozen Foods",39.7506,"OUT049","Medium","Tier 1","Supermarket Type1",721.0614,"FD","FDH","14"
"FDN32",17.5,"Low Fat",0.0155850297543041,"Fruits and Vegetables",185.1266,"OUT049","Medium","Tier 1","Supermarket Type1",4795.0916,"FD","FDN","14"
"DRJ37",10.8,"Low Fat",0.0607813652252877,"Soft Drinks",150.8024,"OUT027","Medium","Tier 3","Other Supermarket",3339.6528,"DR","DRJ","28"
"FDE57",9.6,"Low Fat",0.0365000655977542,"Fruits and Vegetables",140.8154,"OUT017","Small","Tier 2","Supermarket Type1",1843.6002,"FD","FDE","6"
"FDG05",11,"Regular",0.0880305745636432,"Frozen Foods",158.063,"OUT045","Small","Tier 2","Supermarket Type1",2659.871,"FD","FDG","11"
"FDI09",20.75,"Regular",0.129894278933158,"Seafood",240.188,"OUT018","Medium","Tier 3","Other Supermarket",5992.2,"FD","FDI","4"
"DRD12",6.96,"Low Fat",0.077319414191926,"Soft Drinks",89.4146,"OUT027","Medium","Tier 3","Other Supermarket",2645.2234,"DR","DRD","28"
"FDD02",16.6,"Low Fat",0.0861523039761647,"Canned",118.0124,"OUT010","Small","Tier 3","Grocery Store",592.562,"FD","FDD","15"
"FDI36",12.5,"Regular",0.0623357890858849,"Baking Goods",199.7426,"OUT046","Small","Tier 1","Supermarket Type1",593.2278,"FD","FDI","16"
